name,replicate,path_fwdReads,path_revReads,condition,antibody
Rep1_U2OS31_T0h_Flag,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T0h_Flag_S5_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T0h_Flag_S5_R2_001.fastq.gz,U2OS31_T0h_Flag,Flag
Rep1_U2OS31_T0h_H3K27ac,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T0h_H3K27ac_S1_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T0h_H3K27ac_S1_R2_001.fastq.gz,U2OS31_T0h_H3K27ac,H3K27ac
Rep1_U2OS31_T1h_Flag,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T1h_Flag_S6_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T1h_Flag_S6_R2_001.fastq.gz,U2OS31_T1h_Flag,Flag
Rep1_U2OS31_T1h_H3K27ac,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T1h_H3K27ac_S2_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T1h_H3K27ac_S2_R2_001.fastq.gz,U2OS31_T1h_H3K27ac,H3K27ac
Rep1_U2OS31_T2h_Flag,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T2h_Flag_S7_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T2h_Flag_S7_R2_001.fastq.gz,U2OS31_T2h_Flag,Flag
Rep1_U2OS31_T2h_H3K27ac,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T2h_H3K27ac_S3_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T2h_H3K27ac_S3_R2_001.fastq.gz,U2OS31_T2h_H3K27ac,H3K27ac
Rep1_U2OS31_T4h_Flag,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T4h_Flag_S8_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T4h_Flag_S8_R2_001.fastq.gz,U2OS31_T4h_Flag,Flag
Rep1_U2OS31_T4h_H3K27ac,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T4h_H3K27ac_S4_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep1_U2OS31_T4h_H3K27ac_S4_R2_001.fastq.gz,U2OS31_T4h_H3K27ac,H3K27ac
Rep2_U2OS31_T0h_Flag,Rep2,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T0h_Flag_S14_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T0h_Flag_S14_R2_001.fastq.gz,U2OS31_T0h_Flag,Flag
Rep2_U2OS31_T0h_H3K27ac,Rep2,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T0h_H3K27ac_S10_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T0h_H3K27ac_S10_R2_001.fastq.gz,U2OS31_T0h_H3K27ac,H3K27ac
Rep2_U2OS31_T1h_Flag,Rep2,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T1h_Flag_S15_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T1h_Flag_S15_R2_001.fastq.gz,U2OS31_T1h_Flag,Flag
Rep2_U2OS31_T1h_H3K27ac,Rep2,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T1h_H3K27ac_S11_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T1h_H3K27ac_S11_R2_001.fastq.gz,U2OS31_T1h_H3K27ac,H3K27ac
Rep2_U2OS31_T2h_Flag,Rep2,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T2h_Flag_S16_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T2h_Flag_S16_R2_001.fastq.gz,U2OS31_T2h_Flag,Flag
Rep2_U2OS31_T2h_H3K27ac,Rep2,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T2h_H3K27ac_S12_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T2h_H3K27ac_S12_R2_001.fastq.gz,U2OS31_T2h_H3K27ac,H3K27ac
Rep2_U2OS31_T4h_Flag,Rep2,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T4h_Flag_S17_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T4h_Flag_S17_R2_001.fastq.gz,U2OS31_T4h_Flag,Flag
Rep2_U2OS31_T4h_H3K27ac,Rep2,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T4h_H3K27ac_S13_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep2_U2OS31_T4h_H3K27ac_S13_R2_001.fastq.gz,U2OS31_T4h_H3K27ac,H3K27ac
Rep3_U2OS31_T0h_Flag,Rep3,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep3_U2OS31_T0h_Flag_S22_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep3_U2OS31_T0h_Flag_S22_R2_001.fastq.gz,U2OS31_T0h_Flag,Flag
Rep3_U2OS31_T0h_H3K27ac,Rep3,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep3_U2OS31_T0h_H3K27ac_S18_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep3_U2OS31_T0h_H3K27ac_S18_R2_001.fastq.gz,U2OS31_T0h_H3K27ac,H3K27ac
Rep3_U2OS31_T1h_Flag,Rep3,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep3_U2OS31_T1h_Flag_S23_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep3_U2OS31_T1h_Flag_S23_R2_001.fastq.gz,U2OS31_T1h_Flag,Flag
Rep3_U2OS31_T1h_H3K27ac,Rep3,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep3_U2OS31_T1h_H3K27ac_S19_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr/data/220621_run//ChIP_Rep3_U2OS31_T1h_H3K27ac_S19_R2_001.fastq.gz,U2OS31_T1h_H3K27ac,H3K27ac
Rep1_U2OS33_T0h_Flag,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr//data/220704_run//ChIP_Rep1_U2OS33_T0h_Flag_Nr13_S5_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr//data/220704_run//ChIP_Rep1_U2OS33_T0h_Flag_Nr13_S5_R2_001.fastq.gz,U2OS33_T0h_Flag,Flag
Rep1_U2OS33_T0h_H3K27ac,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr//data/220704_run//ChIP_Rep1_U2OS33_T0h_H3K27ac_Nr5_S1_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr//data/220704_run//ChIP_Rep1_U2OS33_T0h_H3K27ac_Nr5_S1_R2_001.fastq.gz,U2OS33_T0h_H3K27ac,H3K27ac
Rep1_U2OS33_T1h_Flag,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr//data/220704_run//ChIP_Rep1_U2OS33_T1h_Flag_Nr14_S6_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr//data/220704_run//ChIP_Rep1_U2OS33_T1h_Flag_Nr14_S6_R2_001.fastq.gz,U2OS33_T1h_Flag,Flag
Rep1_U2OS33_T1h_H3K27ac,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr//data/220704_run//ChIP_Rep1_U2OS33_T1h_H3K27ac_Nr6_S2_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr//data/220704_run//ChIP_Rep1_U2OS33_T1h_H3K27ac_Nr6_S2_R2_001.fastq.gz,U2OS33_T1h_H3K27ac,H3K27ac
Rep1_U2OS33_T2h_Flag,Rep1,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr//data/220704_run//ChIP_Rep1_U2OS33_T2h_Flag_Nr15_S7_R1_001.fastq.gz,/Volumes/PromisePegasus/_Research_/R008_ChIP_AdVIr//data/220704_run//ChIP_Rep1_U2OS33_T2h_Flag_Nr15_S7_R2_001.fastq.gz,U2OS33_T2h_Flag,Flag
